month,0_总指数,0_农产品,0_矿产品,0_煤油电,1_国外资产,1_储备资产,1_准备金存款,1_库存现金,1_对政府债权,1_对中央银行债权,1_对其他存款性公司债权,1_对其他金融机构债权,1_对非金融机构债权,1_对其他居民部门债权,1_其他资产,1_对非金融机构及住户负债,1_纳入广义货币的存款,1_单位活期存款,1_单位定期存款,1_个人存款,1_不纳入广义货币的存款,1_可转让存款,1_其他存款,1_其他负债,1_对中央银行负债,1_对其他存款性公司负债,1_对其他金融性公司负债,1_国外负债,1_债券发行,1_实收资本,1_其他负债.1,1_总负债,2_国外净资产,2_国内信贷,2_对政府债权(净),2_对非金融部门债权,2_对其他金融部门债权,2_货币和准货币,2_货币,2_流通中现金,2_活期存款,2_准货币,2_定期存款,2_储蓄存款,2_其他存款,2_不纳入广义货币的存款,2_债券,2_实收资本,2_其他(净),3_一特别提款权单位折合人民币(期末数),3_一美元折合人民币(期末数),3_一美元折合人民币(平均数),4_M0,4_M1,4_M2,5_外汇,5_货币黄金,5_其他国外资产,5_对政府债权,5_对其他存款性公司债权,5_对其他金融性公司债权,5_对非金融性公司债权,5_其他资产,5_货币发行,5_其他存款,5_不计入储备货币的金融性公司存款,5_发行债券,5_国外负债,5_政府存款,5_自有资金,5_其他负债,5_总负债,6_各项存款,6_流通中货币,6_对国际金融机构负债,6_各项贷款,6_在国际金融机构资产,6_资金运用总计,7_各项存款,7_各项贷款,7_资金运用总计,8_各项存款,8_对国际金融机构负债,8_各项贷款,8_在国际金融机构资产,8_资金运用总计
2008/1,108.4,112.8,119.6,112.5,18855.54,72379.52,69000.91,3378.61,29114.63,33583.47,58900.9,12417.92,242978.21,52054.49,29647.39,371727.9,358082.29,118197.01,65537.4,174347.88,9827.14,3489.02,6338.12,3818.47,6152.46,22888.83,43898.59,6228.12,34732.68,18410.31,3818.47,549932.07,142530.7,345162.34,25375.76,295076.82,24709.76,417818.67,154870.16,36673.15,118197.01,262948.51,65537.4,174347.88,23063.23,9827.14,34732.68,18630.06,6684.49,11.4625,7.1853,7.2478,36673.15,154872.59,417846.17,120743.12,337.24,9769.78,16317.71,7075.11,12291.84,44.12,7883.95,40052.01,69425.68,526.08,32306.69,946.86,20056.58,219.75,10929.22,174462.87,391551.46,36673.15,946.86,269695.58,1071.41,469120.65,1522.23,2367.31,4727.4,402489.07,946.86,286705.45,1071.41,363017.39
2008/2,109.2,113.4,120.7,114.1,18816.32,73991.72,70898.27,3093.45,29605.96,37692.79,61843.52,11764.24,246240.79,52168.21,32980.62,382375.52,369008.04,117723.41,67324.48,183960.15,9840.92,3675.75,6165.17,3526.56,6969.84,24386.19,43229.28,5742.3,35799.82,18423.66,3526.56,565104.18,145926.71,347539.53,25030.23,298453.12,24056.18,421037.84,150177.88,32454.47,117723.41,270859.96,67324.48,183960.15,19575.33,9840.92,35799.82,18643.41,8144.25,11.4442,7.1058,7.1601,32454.47,150177.88,421037.84,124427.7,337.24,9034.33,16317.71,7698.33,12291.94,44.12,7910.52,35548.12,71494.65,493.6,36877.58,946.58,20893.44,219.75,11588.17,178061.89,404927.55,32454.47,946.58,272165.99,1071.74,475751.11,1538.43,2584.33,4927.09,415859.25,946.58,290529.81,1071.74,366887.84
2008/3,110.2,114.1,123.5,115.3,20325.16,72927.87,69923.5,3004.37,29507.39,41969.95,64907.3,11416.97,247252.87,53102.65,32975.66,393139.25,379448.61,120434.4,71599.33,187414.88,9816.33,3457.15,6359.18,3874.31,6237.3,26770.64,37867.21,5845.96,36737.7,18480.81,3874.31,574385.82,150967.47,348375.8,24267.45,300399.64,23708.71,423054.53,150867.47,30433.07,120434.4,272187.06,71599.33,187414.88,13172.85,9816.33,36737.7,18700.56,11033.96,11.5427,7.019,7.0752,30433.07,150867.47,423054.53,127126.09,337.24,9973.49,16317.71,8037.3,12291.74,44.12,7920.1,33437.62,70786.56,492.29,39530.84,948.55,21557.65,219.75,15074.53,182047.79,415693.11,30433.07,948.55,275000.21,1073.04,482327.74,1553.48,2687.95,5048.98,426596.93,948.55,293866.91,1073.04,369506.84
2008/4,110.3,113.9,122.1,117.2,20375.92,74595.54,71960.81,2634.73,29852.46,41061.47,66665.99,11265.53,251548.01,53834.0,34124.92,397071.37,383061.54,120905.3,73767.12,188389.12,10414.05,3269.88,7144.17,3595.78,6239.65,27142.05,40430.97,5685.26,37549.47,18523.49,3595.78,583323.84,156560.99,350397.88,21416.4,305426.13,23555.35,429313.72,151694.91,30789.61,120905.3,277618.81,73767.12,188389.12,15462.58,10414.05,37549.47,18743.24,10938.39,11.3668,7.0002,7.0007,30789.61,151694.91,429313.72,131217.94,337.24,11240.73,16317.71,8049.58,12289.82,44.12,7944.52,33424.51,73042.53,496.74,43018.07,925.58,24753.77,219.75,11560.71,187441.66,422275.01,30789.61,925.58,279690.16,1047.71,493294.01,1643.2,2709.3,5084.89,433777.74,925.58,298655.76,1047.71,375483.61
2008/5,109.6,111.6,117.6,116.9,21110.25,77340.03,74682.64,2657.39,30581.4,39801.28,66691.73,11553.39,253180.38,54508.84,33798.99,402831.77,389269.99,123175.45,75420.16,190674.38,10276.66,3579.0,6697.66,3285.12,6258.9,26354.01,40318.91,5601.63,37902.65,18562.78,3285.12,588566.29,160945.21,351180.28,19644.31,307733.34,23802.63,436221.6,153344.75,30169.3,123175.45,282876.85,75420.16,190674.38,16782.31,10276.66,37902.65,18782.53,8942.05,11.2593,6.9472,6.9724,30169.3,153344.75,436221.6,133518.98,337.24,12484.53,16317.71,8078.35,12249.24,44.12,8018.29,32826.87,75792.58,516.64,43920.33,904.16,27254.8,219.75,9613.33,191048.46,431273.96,30169.3,904.15,282875.17,1037.59,500592.41,1621.77,2739.34,5153.65,442540.86,904.15,301906.07,1037.59,379042.47
2008/6,109.5,109.1,116.7,121.2,20155.05,83884.5,80990.23,2894.27,30037.72,38101.05,68746.26,12005.48,255526.98,55300.86,32547.17,410464.81,396889.61,124638.83,77981.31,194269.47,10377.3,3660.75,6716.55,3197.9,6255.21,27699.33,38239.49,5558.73,38220.29,18666.01,3197.9,596305.07,163271.6,353970.67,18903.12,310871.96,24195.59,443141.02,154820.15,30181.32,124638.83,288320.87,77981.31,194269.47,16070.09,10377.3,38220.29,18885.76,6617.9,11.2052,6.8591,6.8971,30181.32,154820.15,443141.02,134249.44,337.24,14993.48,16279.77,8097.51,12190.11,44.12,7913.27,33075.73,82277.32,528.78,41801.74,904.88,27414.37,219.75,7882.37,194104.94,438989.25,30181.32,904.88,286199.38,1034.83,505968.25,1638.43,2753.36,5038.51,450227.49,904.88,305085.2,1034.83,381161.12
2008/7,109.4,106.8,118.3,126.7,20813.4,84667.52,82069.65,2597.87,30237.42,38671.51,67253.53,12787.24,258451.16,55783.29,32898.04,413230.63,399224.46,124305.25,78247.74,196671.47,10670.58,3846.18,6824.4,3335.59,6216.98,27605.72,41043.35,5570.69,38144.63,18723.55,3335.59,601563.11,166973.85,356557.18,17386.39,314278.57,24892.22,446362.17,154992.44,30687.19,124305.25,291369.73,78247.74,196671.47,16450.52,10670.58,38144.63,18943.3,9410.36,11.0849,6.8388,6.8376,30687.19,154992.44,446362.17,137690.05,337.24,14596.2,16279.77,8433.95,12104.98,44.12,7986.61,33285.24,83161.56,556.86,41717.56,892.35,29130.8,219.75,8508.8,197472.92,443671.51,30687.19,892.36,290016.98,1020.79,512668.28,1693.98,2747.01,5133.12,455256.45,892.36,308803.6,1020.79,384323.33
2008/8,108.2,104.7,115.5,126.8,20953.39,85636.37,82789.77,2846.6,30036.08,38540.13,67889.38,11603.31,260204.61,56282.83,33440.37,420281.87,406138.62,126038.3,80111.39,199988.93,10968.35,3968.64,6999.71,3174.9,6193.66,27767.67,35084.1,5764.12,38530.9,18766.86,3174.9,604586.47,168636.6,357818.2,17580.09,316531.56,23706.55,448846.68,156889.92,30851.62,126038.3,291956.76,80111.39,199988.93,11856.44,10968.35,38530.9,18986.61,9122.26,10.7293,6.8345,6.8515,30851.62,156889.92,448846.68,139521.46,337.24,14480.96,16279.77,8554.1,12103.24,44.12,7943.98,33698.35,83891.46,571.99,42278.96,892.33,28735.76,219.75,8976.27,199264.87,450172.32,30851.62,892.33,292732.36,1016.6,517093.04,1743.4,2717.31,5109.81,462087.48,892.33,311304.13,1016.6,386011.93
2008/9,107.0,105.0,112.3,124.2,20180.47,84806.01,81654.8,3151.21,29572.8,40419.02,71614.81,12246.3,263080.86,56897.53,32399.5,426503.21,412493.37,124024.09,84045.11,204424.17,10929.06,3738.91,7190.15,3080.78,6260.52,29202.67,31551.41,5564.05,39816.65,18901.74,3080.78,611217.3,171633.02,362950.53,18578.28,320022.51,24349.74,452898.7,155748.97,31724.88,124024.09,297149.73,84045.11,204424.17,8680.45,10929.06,39816.65,19121.49,11817.65,10.71,6.8183,6.8307,31724.88,155748.97,452898.71,143122.88,337.24,14448.76,16233.94,8544.44,12103.44,44.12,8089.58,34876.09,82459.97,584.96,45911.46,892.28,27228.46,219.75,10751.43,202924.4,454941.54,31724.88,892.28,296477.09,1016.32,524535.76,1741.65,2692.21,4948.11,466816.61,892.28,314833.34,1016.32,388335.16
2008/10,104.0,104.3,103.8,119.1,21430.31,83538.38,80812.85,2725.53,29874.03,41151.18,73103.47,12519.78,264806.11,56921.33,34530.16,428065.36,413485.46,125876.52,80139.05,207469.89,11071.15,3912.41,7158.74,3508.75,6163.71,30181.9,30884.64,5377.86,40498.62,20260.31,3508.75,617874.75,174732.73,363180.17,16785.57,321771.56,24623.04,453133.32,157194.36,31317.84,125876.52,295938.96,80139.05,207469.89,8330.02,11071.15,40498.62,20480.06,12729.75,10.1588,6.8258,6.8316,31317.84,157194.36,453133.32,146602.17,337.24,12635.23,16233.94,8477.19,12103.26,44.12,8019.45,34043.37,81671.93,578.24,47429.35,894.36,29322.4,219.75,10293.2,204452.6,458331.49,31317.84,894.37,298295.65,1008.93,528720.38,1777.2,2583.56,4813.85,470462.35,894.37,315930.49,1008.93,390099.76
