day,开盘价,最高价,最低价,收盘价,成交量,成交额,均价
2008-01-31,4693.61,4733.7,4614.28,4620.4,3085257984.0,64311668736.0,4675.31
2008-02-01,4623.62,4660.99,4414.12,4571.94,3512552704.0,67941470208.0,4556.81
2008-02-02,4623.68393777777,4661.24800888888,4414.37015999999,4572.27615999999,3513070714.42488,67957220354.7306,4557.07303111111
2008-02-03,4623.74787555555,4661.50601777777,4414.62032,4572.61231999999,3513588724.84977,67972970501.4613,4557.33606222222
2008-02-04,4695.55,4951.25,4695.55,4950.12,4095314432.0,85660385280.0,4852.72
2008-02-05,4942.88,4995.57,4878.12,4921.83,3279635712.0,70626099200.0,4934.94
2008-02-06,4942.80553587245,4995.47050487156,4878.03822852081,4921.73633303808,3278632992.87865,70601870326.023,4934.85374667847
2008-02-07,4942.7310717449,4995.37100974313,4877.95645704163,4921.64266607617,3277630273.7573,70577641452.046,4934.76749335695
2008-02-08,4942.65660761736,4995.2715146147,4877.87468556244,4921.54899911426,3276627554.63596,70553412578.069,4934.68124003542
2008-02-09,4942.58214348981,4995.17201948627,4877.79291408325,4921.45533215234,3275624835.51461,70529183704.0921,4934.5949867139
2008-02-10,4942.50767936226,4995.07252435783,4877.71114260407,4921.36166519043,3274622116.39326,70504954830.1151,4934.50873339238
2008-02-11,4942.43321523472,4994.9730292294,4877.62937112488,4921.26799822852,3273619397.27192,70480725956.1381,4934.42248007085
2008-02-12,4942.35875110717,4994.87353410097,4877.5475996457,4921.1743312666,3272616678.15057,70456497082.1612,4934.33622674933
2008-02-13,4858.81,4883.24,4785.8,4816.08,2147565824.0,43271700480.0,4837.56
2008-02-14,4858.85,4913.32,4842.85,4880.25,1983778944.0,40152821760.0,4880.7
2008-02-15,4846.02,4846.02,4742.1,4813.31,2426260224.0,47298764800.0,4787.38
2008-02-16,4846.04562774363,4846.10679543459,4742.19061457418,4813.3957594381,2426815752.99034,47311535534.6374,4787.48476733977
2008-02-17,4846.07125548727,4846.19359086918,4742.28122914837,4813.4815188762,2427371281.98068,47324306269.2748,4787.58953467954
2008-02-18,4875.21,4944.88,4845.31,4910.99,3059007744.0,61844631552.0,4906.71
2008-02-19,4926.84,5020.75,4885.69,5020.75,3617696512.0,74207772672.0,4957.83
2008-02-20,5032.78,5062.26,4901.66,4908.72,3955772160.0,84980858880.0,4975.01
2008-02-21,4878.57,4924.45,4796.1,4876.03,3340361728.0,67932114944.0,4862.58
2008-02-22,4850.88,4850.88,4649.81,4702.24,3791862784.0,77110345728.0,4736.67
2008-02-23,4850.75211169284,4850.76809773123,4649.68860383944,4702.08078534031,3791490478.01745,77100060661.2774,4736.53897033158
2008-02-24,4850.62422338568,4850.65619546247,4649.56720767888,4701.92157068062,3791118172.0349,77089775594.5549,4736.40794066317
2008-02-25,4704.32,4722.64,4510.69,4519.78,3365200128.0,65323659264.0,4586.51
2008-02-26,4637.6,4668.83,4394.59,4515.53,3327639040.0,67625963520.0,4522.67
2008-02-27,4543.1,4660.41,4500.89,4639.77,2959239424.0,60311457792.0,4609.96
2008-02-28,4651.16,4670.17,4582.82,4622.06,2539817216.0,50332557312.0,4630.65
2008-02-29,4616.24,4683.16,4597.63,4674.55,2335085824.0,47275048960.0,4661.09
2008-03-01,4616.26817866435,4683.26471812662,4597.64220294882,4674.65077189939,2336465490.37294,47303158163.2055,4661.1517432784
2008-03-02,4616.2963573287,4683.36943625325,4597.65440589765,4674.75154379878,2337845156.74588,47331267366.4111,4661.2134865568
2008-03-03,4648.73,4803.9,4611.7,4790.74,3925841152.0,79684960256.0,4732.28
2008-03-04,4813.4,4836.66,4657.38,4671.15,4512977920.0,88557682688.0,4749.83
2008-03-05,4650.52,4689.97,4519.74,4628.72,3941799424.0,73479593984.0,4598.58
2008-03-06,4645.07,4746.58,4592.62,4685.03,4440226816.0,85710626816.0,4678.15
2008-03-07,4641.75,4693.21,4597.01,4621.69,2869094400.0,60552445952.0,4639.35
2008-03-08,4641.7043275862,4693.11996551724,4596.84553448275,4621.52612068965,2869360728.49655,60552958824.1655,4639.21460344827
2008-03-09,4641.65865517241,4693.02993103448,4596.68106896551,4621.36224137931,2869627056.9931,60553471696.331,4639.07920689655
2008-03-10,4588.77,4588.77,4406.23,4431.59,3178035456.0,61147377664.0,4482.29
2008-03-11,4393.28,4441.18,4315.18,4441.18,2627659264.0,52344307712.0,4395.14
2008-03-12,4534.81,4553.34,4308.35,4309.65,2714564352.0,55702634496.0,4407.01
2008-03-13,4266.27,4296.36,4121.27,4198.96,3445130752.0,65769467904.0,4209.44
2008-03-14,4179.44,4212.41,4092.79,4157.87,2342788608.0,45564248064.0,4144.66
2008-03-15,4179.40524421593,4212.34699228791,4092.67474721508,4157.70497000856,2343195898.07712,45570085116.7095,4144.57484147386
2008-03-16,4179.37048843187,4212.28398457583,4092.55949443016,4157.53994001713,2343603188.15424,45575922169.419,4144.48968294772
2008-03-17,4138.88,4138.88,3958.29,3965.28,2818096128.0,52376088576.0,4045.28
2008-03-18,3924.87,3996.96,3700.35,3763.95,3452375040.0,58459480064.0,3823.75
2008-03-19,3837.6,3954.47,3776.3,3888.86,3789847808.0,68823711744.0,3869.0
2008-03-20,3833.21,4044.69,3658.04,4001.83,4621294592.0,82432598016.0,3959.25
