month,国外净资产,国内信贷,对政府债权(净),对非金融部门债权,对其他金融部门债权,货币和准货币,货币,流通中现金,活期存款,准货币,定期存款,储蓄存款,其他存款,不纳入广义货币的存款,债券,实收资本,其他(净)
2008/1,142530.7,345162.34,25375.76,295076.82,24709.76,417818.67,154870.16,36673.15,118197.01,262948.51,65537.4,174347.88,23063.23,9827.14,34732.68,18630.06,6684.49
2008/2,145926.71,347539.53,25030.23,298453.12,24056.18,421037.84,150177.88,32454.47,117723.41,270859.96,67324.48,183960.15,19575.33,9840.92,35799.82,18643.41,8144.25
2008/3,150967.47,348375.8,24267.45,300399.64,23708.71,423054.53,150867.47,30433.07,120434.4,272187.06,71599.33,187414.88,13172.85,9816.33,36737.7,18700.56,11033.96
2008/4,156560.99,350397.88,21416.4,305426.13,23555.35,429313.72,151694.91,30789.61,120905.3,277618.81,73767.12,188389.12,15462.58,10414.05,37549.47,18743.24,10938.39
2008/5,160945.21,351180.28,19644.31,307733.34,23802.63,436221.6,153344.75,30169.3,123175.45,282876.85,75420.16,190674.38,16782.31,10276.66,37902.65,18782.53,8942.05
2008/6,163271.6,353970.67,18903.12,310871.96,24195.59,443141.02,154820.15,30181.32,124638.83,288320.87,77981.31,194269.47,16070.09,10377.3,38220.29,18885.76,6617.9
2008/7,166973.85,356557.18,17386.39,314278.57,24892.22,446362.17,154992.44,30687.19,124305.25,291369.73,78247.74,196671.47,16450.52,10670.58,38144.63,18943.3,9410.36
2008/8,168636.6,357818.2,17580.09,316531.56,23706.55,448846.68,156889.92,30851.62,126038.3,291956.76,80111.39,199988.93,11856.44,10968.35,38530.9,18986.61,9122.26
2008/9,171633.02,362950.53,18578.28,320022.51,24349.74,452898.7,155748.97,31724.88,124024.09,297149.73,84045.11,204424.17,8680.45,10929.06,39816.65,19121.49,11817.65
2008/10,174732.73,363180.17,16785.57,321771.56,24623.04,453133.32,157194.36,31317.84,125876.52,295938.96,80139.05,207469.89,8330.02,11071.15,40498.62,20480.06,12729.75
2008/11,176483.81,362521.42,18930.13,318856.02,24735.27,458644.65,157826.61,31607.34,126219.27,300818.04,81146.82,211188.49,8482.73,10815.72,41081.03,20537.0,7926.83
