股票,公司亮点,主营业务,收入,净利润,毛利率
大参林,公司亮点：专注于中西成药、参茸滋补药材等商品的直营连锁零售商,主营业务：中西成药、参茸滋补药材及中药饮片、保健品、医疗器械及其他商品,收入：197.31亿元同比增长11.33%+,净利润：8.58亿元同比下降26.93%+,毛利率：34.67%+
一心堂,公司亮点：云南省销售额最大、网点最多的药品零售企业,主营业务：医药零售连锁和医药批发业务。,收入：135.89亿元同比增长6.06%+,净利润：2.93亿元同比下降57.36%+,毛利率：31.73%+
九州通,公司亮点：连续多年领跑中国民营医药的商业企业,主营业务：数字化医药分销与供应链业务、总代品牌推广业务、医药工业自产及,收入：1134.29亿元同比下降0.82%+,净利润：16.96亿元同比下降6.99%+,毛利率：7.96%+
老百姓,公司亮点：全国性布局的大型药品零售连锁企业,主营业务：通过构建营销网络从事药品及其他健康、美丽相关商品的销售。,收入：162.32亿元同比增长1.19%+,净利润：6.30亿元同比下降12.06%+,毛利率：33.87%+
上海医药,公司亮点：中国最大的医药进口总代理商和分销商,主营业务：医药工业、医药商业。,收入：2752.51亿元同比增长5.75%+,净利润：9.86元+总股本:37.08亿股,毛利率：11.13%+
南京医药,"公司亮点：南京国资委旗下,国内首家医药流通类上市公司,南京药品市场上拥","主营业务：医药批发、医药零售、医药""互联网+""业务以及医药第三方物流服务",收入：409.38亿元同比增长0.97%+,净利润：4.42亿元同比增长0.36%+,毛利率：6.16%+
中国医药,"公司亮点：国际化的渠道与终端覆盖能力,具备全球配置医疗资源的核心优势",主营业务：以国际贸易为引领、以医药工业为支撑、以医药商业为纽带的贸、工,收入：261.00亿元同比下降12.41%+,净利润：4.47亿元同比下降24.74%+,毛利率：10.66%+
柳药集团,"公司亮点：以医院销售为主,零售药店和第三终端并重发展的医药流通企业",主营业务：医药批发、医药零售和医药工业为主。,收入：211.82亿元同比增长1.78%+,净利润：11.33元+总股本:3.99亿股,毛利率：11.37%+
国药股份,公司亮点：麻醉药品、一类精神药品批发业务的市场占有率排名第一,主营业务：医药流通。,收入：505.97亿元同比增长1.81%+,净利润：20.00亿元同比下降6.8%+,毛利率：7.11%+
国药一致,公司亮点：医药批发、零售连锁为一体的大型医药商业集团,主营业务：医药分销和医药零售。,收入：743.78亿元同比下降1.46%+,净利润：6.42亿元同比下降59.83%+,毛利率：11.09%+
益丰药房,公司亮点：聚焦华中、华南、华东区域的药品零售连锁企业,主营业务：中西成药、中药饮片、医疗器械、保健食品、个人护理用品及与健康,收入：172.19亿元同比增长8.38%+,净利润：11.11亿元同比增长11.14%+,毛利率：40.39%+
重药控股,公司亮点：中国三家经营特殊药品的全国性批发企业之一,主营业务：从事医药商业、仓储物流、医药工业和研发等业务。,收入：596.93亿元同比增长2.24%+,净利润：2.92亿元同比下降43.54%+,毛利率：7.44%+
健之佳,"公司亮点：云南地区第二大医药零售企业,并在全国拥有较强知名度",主营业务：主要从事药品、保健食品、个人护理品、家庭健康用品、便利食品、,收入：67.35亿元同比增长3.63%+,净利润：1.01亿元同比下降63.79%+,毛利率：36.19%+
英特集团,"公司亮点：浙江国资委旗下,国内药品流通行业批发企业前十强,浙江省第二大",主营业务：药品、中药、生物制品、医疗器械批发及零售业务。,收入：247.77亿元同比增长3.59%+,净利润：3.55亿元同比下降2.9%+,毛利率：6.67%+
第一医药,公司亮点：公司拥有大型医药零售旗舰店以及百年老字号特色药房,主营业务：药品的零售和批发业务.,收入：19.15亿元同比增长5.26%+,净利润：1.63亿元同比增长82.65%+,毛利率：16.63%+
